Name	Mana Cost	Type	Rules Text	Flavor Text	Power	Toughness	Loyalty	Name 2	Mana Cost 2	Type 2	Rules Text 2	Flavor Text 2	Power 2	Toughness 2	Loyalty 2	
The Vidalian	5	Legendary Enchantment — Landmark 	​				3	
Hideous Taskmaster	6R	Creature — Eldrazi 	Devoid\n When you cast this spell, for each opponent, gain control of up to one target creature that player controls until end of turn. Untap those creatures. They gain trample, haste, and annihilator 1 until end of turn.\n Trample, haste, annihilator 1		7	2		
Ingot Chewer	4R	Creature — Elemental 	When this creature enters, destroy target artifact.\n Evoke R (You may cast this spell for its evoke cost. If you do, it’s sacrificed when it enters.)		3	3		
Narset, Jeskai Waymaster	URW	Legendary Creature — Human Monk 	At the beginning of your end step, you may discard your hand. If you do, draw cards equal to the number of spells you’ve cast this turn.		3	4		
Nulldrifter	7	Creature — Eldrazi Elemental 	When you cast this spell, draw two cards.\n Flying\n Annihilator 1 (Whenever this creature attacks, defending player sacrifices a permanent.)\n Evoke 2U (You may cast this spell for its evoke cost. If you do, it’s sacrificed when it enters.)		4	4		
Torrent Sculptor	2UU	Creature — Merfolk Wizard 	Ward 2 (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays 2.)\n When this creature enters, exile an instant or sorcery card from your graveyard. Put a number of +1/+1 counters on this creature equal to half that card’s mana value, rounded up.		2	2		Flamethrower Sonata	1R	Sorcery	Discard a card, then draw a card. When you discard an instant or sorcery card this way, this spell deals damage equal to that card’s mana value to target creature or planeswalker you don’t control.					
Vega, the Watcher	1WU	Legendary Creature — Bird Spirit 	Flying\n Whenever you cast a spell from anywhere other than your hand, draw a card.		2	2		
Vexing Scuttler	8	Creature — Eldrazi Crab 	Emerge 6U (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature’s mana value.)\n When you cast this spell, you may return target instant or sorcery card from your graveyard to your hand.         		4	5		
Wandering Archaic	5	Creature — Avatar 	Whenever an opponent casts an instant or sorcery spell, they may pay 2. If they don’t, you may copy that spell. You may choose new targets for the copy.		4	4		Explore the Vastlands	3	Sorcery	Each player looks at the top five cards of their library and may reveal a land card and/or an instant or sorcery card from among them. Each player puts the cards they revealed this way into their hand and the rest on the bottom of their library in a random order. Each player gains 3 life.                                                  					
Amphibian Downpour	2U	Enchantment — Aura 	Flash\n Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies. Copies become tokens.)\n Enchant creature\n Enchanted creature loses all abilities and is a blue Frog creature with base power and toughness 1/1.					
Arcane Bombardment	4RR	Enchantment	Whenever you cast your first instant or sorcery spell each turn, exile an instant or sorcery card at random from your graveyard. Then copy each card exiled with this enchantment. You may cast any number of the copies without paying their mana costs.					
Jeskai Ascendancy	URW	Enchantment	Whenever you cast a noncreature spell, creatures you control get +1/+1 until end of turn. Untap those creatures.\n Whenever you cast a noncreature spell, you may draw a card. If you do, discard a card.					
Monk Class	WU	Enchantment — Class 	(Gain the next level as a sorcery to add its ability.)\n The second spell you cast each turn costs  less to cast.\n WU Level 2\n When this Class becomes level 2, return up to one target nonland permanent to its owner’s hand.\n 1WU Level 3\n At the beginning of your upkeep, exile the top card of your library. For as long as it remains exiled, it has “You may cast this card from exile as long as you’ve cast another spell this turn.”					
Powerbalance	RR	Enchantment	Whenever an opponent casts a spell, you may reveal the top card of your library. If you do, you may cast that card without paying its mana cost if the two spells have the same mana value.					
Return the Past	4RR	Enchantment	During your turn, each instant and sorcery card in your graveyard has flashback. Its flashback cost is equal to its mana cost.					
Unable to Scream	U	Enchantment — Aura 	Enchant creature\n Enchanted creature loses all abilities and is a Toy artifact creature with base power and toughness 0/2 in addition to its other types.\n As long as enchanted creature is face down, it can’t be turned face up.					
Utter Insignificance	1U	Enchantment — Aura 	Flash\n Enchant creature\n Enchanted creature loses all abilities and has base power and toughness 1/1.\n 2C: Exile enchanted creature.					
Whirlwind of Thought	1URW	Enchantment	Whenever you cast a noncreature spell, draw a card.					
Abrade	1R	Instant	Choose one —\n • Abrade deals 3 damage to target creature.\n • Destroy target artifact.					
Consign to Memory	U	Instant	Replicate 1 (When you cast this spell, copy it for each time you paid its replicate cost. You may choose new targets for the copies.) (When you cast this spell, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)\n Counter target triggered ability or colorless spell.					
Delayed Blast Fireball	1RR	Instant	This spell deals 2 damage to each opponent and each creature they control. If this spell was cast from exile, it deals 5 damage to each opponent and each creature they control instead.\n Foretell 4RR (During your turn, you may pay 2 and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)					
Dig Through Time	6UU	Instant	Delve (Each card you exile from your graveyard while casting this spell pays for 1.)\n Look at the top seven cards of your library. Put two of them into your hand and the rest on the bottom of your library in any order.					
Discontinuity	3UUU	Instant	During your turn, this spell costs 2UU less to cast.\n End the turn. (Exile all spells and abilities from the stack, including this card. The player whose turn it is discards down to their maximum hand size. Damage wears off, and “this turn” and “until end of turn” effects end.)					
Faithful Mending	WU	Instant	You gain 2 life, draw two cards, then discard two cards.\n Flashback 1WU (You may cast this card from your graveyard for its flashback cost. Then exile it.)					
Flusterstorm	U	Instant	Counter target instant or sorcery spell unless its controller pays 1.\n Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)					
Fury Storm	2RR	Instant	When you cast this spell, copy it for each time you’ve cast your commander from the command zone this game. You may choose new targets for the copies.\n Copy target instant or sorcery spell. You may choose new targets for the copy.					
Izzet Charm	UR	Instant	Choose one —\n • Counter target noncreature spell unless its controller pays 2.\n • Izzet Charm deals 2 damage to target creature.\n • Draw two cards, then discard two cards.					
Lose Focus	1U	Instant	Replicate U (When you cast this spell, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)\n Counter target spell unless its controller pays 2.					
Narset's Reversal	UU	Instant	Copy target instant or sorcery spell, then return it to its owner’s hand. You may choose new targets for the copy.					
Release to the Wind	2U	Instant	Exile target nonland permanent. For as long as that card remains exiled, its owner may cast it without paying its mana cost.					
Run Away Together	1U	Instant	Choose two target creatures controlled by different players. Return those creatures to their owners’ hands.					
Adarkar Wastes		Land	T: Add C.\n T: Add W or U. This land deals 1 damage to you.					
Battlefield Forge		Land	T: Add C.\n T: Add R or W. This land deals 1 damage to you.					
Clifftop Retreat		Land	This land enters tapped unless you control a Mountain or a Plains.\n T: Add R or W.					
Exotic Orchard		Land	T: Add one mana of any color that a land an opponent controls could produce.					
Glacial Fortress		Land	This land enters tapped unless you control a Plains or an Island.\n T: Add W or U.					
Mystic Monastery		Land	This land enters tapped.\n T: Add U, R, or W.					
Prairie Stream		Land — Plains Island 	(T: Add W or U.)\n This land enters tapped unless you control two or more basic lands.					
Temple of Enlightenment		Land	This land enters tapped.\n When this land enters, scry 1.\n T: Add W or U.					
Temple of Triumph		Land	This land enters tapped.\n When this land enters, scry 1.\n T: Add R or W.					
Narset of the Ancient Way	1URW	Legendary Planeswalker — Narset 	[+1]: You gain 2 life. Add U, R, or W. Spend this mana only to cast a noncreature spell.\n [-2]: Draw a card, then you may discard a card. When you discard a nonland card this way, Narset deals damage equal to that card’s mana value to target creature or planeswalker.\n [-6]: You get an emblem with “Whenever you cast a noncreature spell, this emblem deals 2 damage to any target.”				4	
Austere Command	4WW	Sorcery	Choose two —\n • Destroy all artifacts.\n • Destroy all enchantments.\n • Destroy all creatures with mana value 3 or less.\n • Destroy all creatures with mana value 4 or greater.					
Cleansing Nova	3WW	Sorcery	Choose one —\n • Destroy all creatures.\n • Destroy all artifacts and enchantments.					
Energy Tap	U	Sorcery	Tap target untapped creature you control. If you do, add an amount of  equal to that creature’s mana value.					
Faithless Looting	R	Sorcery	Draw two cards, then discard two cards.\n Flashback 2R (You may cast this card from your graveyard for its flashback cost. Then exile it.)					
Galvanic Relay	2R	Sorcery	Exile the top card of your library. During your next turn, you may play that card.\n Storm (When you cast this spell, copy it for each spell cast before it this turn.)					
Jeska's Will	2R	Sorcery	Choose one. If you control a commander as you cast this spell, you may choose both instead.\n • Add R for each card in target opponent’s hand.\n • Exile the top three cards of your library. You may play them this turn.					
Mizzix's Mastery	3R	Sorcery	Exile target card that’s an instant or sorcery from your graveyard. For each card exiled this way, copy it, and you may cast the copy without paying its mana cost. Exile Mizzix’s Mastery.\n Overload 5RRR (You may cast this spell for its overload cost. If you do, change “target” in its text to “each.”)					
See the Truth	1U	Sorcery	Look at the top three cards of your library. Put one of those cards into your hand and the rest on the bottom of your library in any order. If this spell was cast from anywhere other than your hand, put each of those cards into your hand instead.					
Shattering Spree	R	Sorcery	Replicate R (When you cast this spell, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)\n Destroy target artifact.					
Slash the Ranks	3WW	Sorcery	Destroy all creatures and planeswalkers except for commanders.					
Temporal Fissure	4U	Sorcery	Return target permanent to its owner’s hand.\n Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)					
Treasure Cruise	7U	Sorcery	Delve (Each card you exile from your graveyard while casting this spell pays for 1.)\n Draw three cards.					
Visions of Ruin	3R	Sorcery	Each opponent sacrifices an artifact. For each artifact sacrificed this way, you create a Treasure token.\n Flashback 8RR. This spell costs  less to cast this way, where X is the greatest mana value of a commander you own on the battlefield or in the command zone. (You may cast this card from your graveyard for its flashback cost. Then exile it.)					
Sinister Omens	WU	Instant	You may put a creature card with mana value 4 or less from your hand onto the battlefield return it to its owners hand at the beginning of the next endstep.					
Rahvun, Daylight's Spear	2WW	Creature — Human Soldier 	Vigilance\n Soldiers you control enter the battlefield with a shield counter them. (If it would be dealt damage or destroyed, remove a shield counter from it instead.)\n Whenever one more counters are removed from a permanent you control, you gain that much life.		3	3		
Palace Jailer	2WW	Creature — Human Soldier 	When this creature enters, you become the monarch.\n When this creature enters, exile target creature an opponent controls until an opponent becomes the monarch. (That creature returns under its owner’s control.)		2	2		
Tyari the Traveller	1WUB	Legendary Enchantment Creature — God 	When Tyari enters, choose target enchantment card in your graveyard, you may return that card to your hand, if you do, you lose life equal to its mana value.\n If an enchantment entering would cause a triggered ability of a permanent you control, that ability triggers an additional time					
The Trickster	2UU	Enchantment Creature — Otter  	Constellation — Whenever this creature or another non-token enchantment enters, create a blue Aura enchantment token named Trick attached to another target permanent with “whenever this creature deals damage to an opponent, you may draw a card.		2	2		
The Serpent	2B	Enchantment Creature — Snake 	Constellation — Whenever an enchantment enters, target creature you control gets +1/+1 and deathtouch until end of turn.\n Whenever one or more creatures with deathtouch deal combat damage to a player, lose that much life and draw that many cards.		2	1		
Forgotten Arches		Land — Desert 	T: Add C.\n 1, T: Add one mana of any color to your mana pool.\n 5, T, Consume this land: Consume any number of target cards among all graveyards.					
Xer'sai Hatchling	WB	Creature — Voidling Rhino 	Trample, ingest 4 (Whenever this creature deals combat damage to a player, that player exiles the top card of their library.)\n Xer’sai Hatchling can’t attack unless there are eight or more cards in the void.\n at the beginning of your upkeep, consume the top card of each players library.		4	4		
Salt the Earth	2WU	Enchantment	If a card were to be put into exile from anywhere, consume it instead.					
The Voidborn	9WU	Creature — Voidling Horror 	The Voidborn costs 1 less for each card in the void.\n Whenever The Voidborn enters or leaves the battlefield, consume target permanent and all other permanents that share a mana value with it.		9	13		
Dropboarder	RGW	Creature — Human Rebel 	Whenever Dropboarder or another human enters, reveal the top card of your library, if its an artifact card you may draw a card if you don’t, put a +1/+1 counter on that creature they gain haste until end of turn.		2	1		
Desert Naturalist	1RGW	Creature — Human Barbarian 	When Desert Naturalist enters, destroy target artifact or enchantment, then search your library for a Desert card and put it onto the battlefield tapped.\n Landfall — Whenever a land you control enters, deal X damage to target creature an opponent controls, where X is the number of Deserts that entered this turn.		2	4		
Rock Hopper	2RW	Creature — Human Scout 	Modified creatures you control have haste.\n Whenever a non-token creature you control enters, create a colorless Equipment artifact token named Rock with “Equipped creature has ‘1, T, Sacrifice Rock: This creature deals 2 damage to any target’” and equip 1 and attach it to it.		2	3		
Roiling Sands	1G	Enchantment — Landmark 	Lands you control and land card you own that aren’t on the battlefield are Deserts in addition to their other types.				3	
Dance of the Tumbleweeds	1G	Sorcery	Spree (Choose one or more additional costs.)\n + 1 — Search your library for a basic land card or a Desert card, put it onto the battlefield, then shuffle.\n + 3 — Create an X/X green Elemental creature token, where X is the number of lands you control.					
Oracle of Mul Daya	3G	Creature — Elf Shaman 	You may play an additional land on each of your turns.\n Play with the top card of your library revealed.\n You may play lands from the top of your library.		2	2		
Valakut Exploration	2R	Enchantment	Landfall — Whenever a land you control enters, exile the top card of your library. You may play that card for as long as it remains exiled.\n At the beginning of your end step, if there are cards exiled with this enchantment, put them into their owner’s graveyard, then this enchantment deals that much damage to each opponent.					
Phylath, World Sculpter	4RG	Legendary Creature — Elemental 	When Phylath, enters, create a 0/1 green Plant creature token for each basic land you control.\n Landfall — Whenever a land you control enters, put four +1/+1 counters on target Plant you control.		5	5		
Plunder Poro	1RW	Creature — Poro Pirate 	Whenever a Poro you control deals combat damage to a player, create a treasure token.\n At the beginning of your endstep discover Poro X, where X is the number of treasure tokens you control. (Reveal cards from the top of your library until you reveal a poro card. You may cast it without paying its mana cost or put it into your hand.					
Poro Fluft	1GWU	Creature — Poro 	Flash\n As this creature enters, you may exile any number of other Poros you control until this creature leaves the battlefield, for each Poro exiled this way, this creature gets +2/+2 and counts as an additional Poro creature on the battlefield.\n “Move like the herd.”                                   —Braum		2	1		
Poro King Idol	2W	Artifact	Whenever a nontoken creature enters, if it was cast, put a worship counter on this artifact.\n At the beginning of your endstep, reveal the top X cards of your library, where X is the number of worship counters on this artifact, put a creature card from among them onto the battlefield if it’s mana value is less than the number of creatures you control, otherwise put it into your hand.					
Poro Sanctuary		Snow Land	T: Add C\n T: Add one mana of any color, spend this mana only to cast Poro spells, if this mana was spent on a spell with mana value 6 or greater, create a 1/1 white Poro creature token.					
Council Call	GWU	Kindred Sorcery — Poro 	Choose up to three, plus the number of Poros you control 🥖 worth of modes. You may choose the same option more than once.\n 🥖 — Reveal the top card of your library if it’s a creature card you may put it into your hand otherwise you may put it on the bottom of your library.\n 🥖🥖 — Create a 1/1 white Poro creature token.\n X🥖 — Put any number of Poro permanents from your hand onto the battlefield with total mana value X or less.					
Poro Stories	WU	Sorcery	Replicate Tap an untapped Poro you control (When you cast this spell, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)\n Gain a life draw a card.					
Naganeka, The Darkin Ballista		Legendary Artifact						Naganeka		Legendary Creature — Darkin 						
Targonian Manifest	2WB	Sorcery	Choose two, you may sacrifice a non-land permanent. If you do, choose another —\n • Put a permanent card from your hand with mana value 3 or less onto the battlefield.\n • Each opponent sacrifices an artifact or enchantment.\n • Create a token copy of a permanent an opponent sacrificed this turn.					
Freljordian Manifest	2RG	Sorcery	Choose two, you may exert two tapped creatures you control. If you do, choose another —\n • For each tapped creature you control, tap up to one non-land permanent target player controls.\n • Deal X damage to target player and each creature they control, where X is the number of tapped creatures you control.\n • Create a tapped Treasure token for each tapped creature target player controls.					
Bilgewater Manifest	2UR	Sorcery	Choose two, you may tap three permanents with different card types. If you do, choose another —\n • Draw three cards, then discard two cards.\n • Deal damage to target creature equal to the number of cards you discarded this turn, excess damage dealt this way is dealt to the creatures controller.\n • Create a Treasure token for each opponent that was dealt damage this turn.					
Ixtali Manifest	2GW	Sorcery	Choose two, do something. If you do, choose another —\n • \n • \n • 					
Perfect Fit	RW	Enchantment	When perfect fit enters choose one —\n •  Search your library for up to one creature card that shares a mana value with an equipment you control, put that card into your hand then shuffle.\n • Search your library for up to one equipment card that shares a mana value with a creature you control, put that card into your hand then shuffle.\n You may equip equipment without paying its equip cost if the target shares a mana value with the equipment.					
Desert Merchants	1RR	Enchantment	Whenever you sacrifice an artifact token, you may sacrifice any number of artifact tokens that share a name with it, if you do, deal 1 damage to any target for each card sacrificed this way.					
Sand Surfing	G	Sorcery	Return target land from your graveyard to your hand, if a Desert is returned this way, return it to the battlefield tapped instead.					
The Water Crystal	2UU	Legendary Artifact	Blue spells you cast cost 1 less to cast.\n If an opponent would mill one or more cards, they mill that many cards plus four instead.\n 4UU, T: Each opponent mills cards equal to the number of cards in your hand.					
The Darkness Crystal	2BB	Legendary Artifact	Black spells you cast cost 1 less to cast.\n If a nontoken creature an opponent controls would die, instead exile it and you gain 2 life.\n 4BB, T: Put target creature card exiled with The Darkness Crystal onto the battlefield tapped under your control with two additional +1/+1 counters on it.					
The Wind Crystal	2WW	Legendary Artifact	White spells you cast cost 1 less to cast.\n If you would gain life, you gain twice that much life instead.\n 4WW, T: Creatures you control gain flying and lifelink until end of turn.					
The Earth Crystal	2GG	Legendary Artifact	Green spells you cast cost 1 less to cast.\n If one or more +1/+1 counters would be put on a creature you control, twice that many +1/+1 counters are put on that creature instead.\n 4GG, T: Distribute two +1/+1 counters among one or two target creatures you control.					
The Fire Crystal	2RR	Legendary Artifact	Red spells you cast cost 1 less to cast.\n Creatures you control have haste.\n 4RR, T: Create a token that’s a copy of target creature you control. Sacrifice it at the beginning of the next end step.					
She Who Wanders	5UU	Creature — Incarnation Horror 	This creature’s toughness is equal to the number of cards in your hand plus 3.\n Play with the top three cards of your library revealed.\n You may play cards from the top 3 cards of your library.		*	3+*		
It That Stares	7UU	Creature — Incarnation Horror 	When you cast this spell, you may tap up to X target permanents, where X is the amount of mana spent to cast this spell, they don’t untap during their controllers next untap step.\n Whenever one or more permanents don’t untap, scry that amount, if it was a permanent you control, you draw that many instead.\n Evoke 2UU		10	14		
Glimpse Into Nothingness	5UU	Sorcery	Each player mills ten cards. For each player, choose an instant or sorcery card in that player’s graveyard. Exile each instant or sorcery spell chosen this way, You may copy them, you may cast the copies without paying their mana cost. Exile this card.					
Teferi's Ageless Insight	2UU	Legendary Enchantment	If you would draw a card except the first one you draw in each of your draw steps, draw two cards instead.					
Inquiries Made	3UU	Sorcery	You may exile any number of cards from all graveyards, draw a card for each card type exiled this way.	“Odd creatures of blood and flesh.” —Vel’Koz				
Turn to Knowledge	6UU	Instant	This spell costs 5 less to cast to target a creature you control.\n Exile target creature, draw cards equal to its mana cost.	“Human melting point remains... inconsistent.”                             —Vel’Koz				
Gitaxian Probe	H/U	Sorcery	Look at target player’s hand.\n Draw a card.					
Stand Above The Heap	1GU	Enchantment	Whenever an opponent sacrifices an artifact, put a pile counter on Stand Above The Heap.\n At the beginning of your first main phase, add mana of any color equal to the number of pile counters on Stand Above The Heap.					
Backstreets of Zaun		Land	This land enters tapped.\n This land doesn’t untap during its controller’s untap step.\n T: Add U or G.\n At the beginning of your upkeep, you may untap this land.					
Chronobreak	6UU	Sorcery	Take an extra turn after this one, For the rest of the game you have an additonal upkeep and draw step.\n Exile Chronobreak.					
Snow-Covered Plains		Basic Snow Land — Plains 						
Snow-Covered Island		Basic Snow Land — Island 						
Snow-Covered Swamp		Basic Snow Land — Swamp 						
Snow-Covered Mountain		Basic Snow Land — Mountain 						
Snow-Covered Forest		Basic Snow Land — Forest 						
Caged Sun	6	Artifact	As this artifact enters, choose a color.\n Creatures you control of the chosen color get +1/+1.\n Whenever a land’s ability causes you to add one or more mana of the chosen color, add an additional one mana of that color.					
Decanter of Endless Water	3	Artifact	You have no maximum hand size.\n T: Add one mana of any color.					
Extraplanar Lens		Artifact	Imprint — When this artifact enters, you may exile target land you control.\n Whenever a land with the same name as the exiled card is tapped for mana, its controller adds one mana of any type that land produced.					
Marina Vendrell's Grimoire	5U	Legendary Artifact	When this artifact enters, if you cast it, draw five cards.\n You have no maximum hand size and don’t lose the game for having 0 or less life.\n Whenever you gain life, draw that many cards.\n Whenever you lose life, discard that many cards. Then if you have no cards in hand, you lose the game.					
Mind Stone	2	Artifact	T: Add 1.\n 1, 2, Sacrifice this artifact: Draw a card.					
Sapphire Medallion	2	Artifact	Blue spells you cast cost 1 less to cast.					
The Everflowing Well	2U	Legendary Artifact	When this artifact enters, mill two cards, then draw two cards.\n Descend 8 — At the beginning of your upkeep, if there are eight or more permanent cards in your graveyard, transform this artifact.					The Myriad Pools		Legendary Artifact Land	(Transforms from The Everflowing Well.)\n T: Add U.\n Whenever you cast a permanent spell using mana produced by this land, up to one other target permanent you control becomes a copy of that spell until end of turn.					
The Magic Mirror	6UUU	Legendary Artifact	This spell costs 1 less to cast for each instant and sorcery card in your graveyard.\n You have no maximum hand size.\n At the beginning of your upkeep, put a knowledge counter on this artifact, then draw a card for each knowledge counter on this artifact.					
Archmage Emeritus	2UU	Creature — Human Wizard 	Magecraft — Whenever you cast or copy an instant or sorcery spell, draw a card.		2	2		
Archmage of Runes	3UU	Creature — Giant Wizard 	Instant and sorcery spells you cast cost  less to cast.\n Whenever you cast an instant or sorcery spell, draw a card.					
Body of Knowledge	3UU	Creature — Avatar 	This creature’s power and toughness are each equal to the number of cards in your hand.\n You have no maximum hand size.\n Whenever this creature is dealt damage, draw that many cards.		*	*		
Defiler of Dreams	3UU	Creature — Phyrexian Sphinx 	Flying\n As an additional cost to cast blue permanent spells, you may pay 2 life. Those spells cost U less to cast if you paid life this way. This effect reduces only the amount of blue mana you pay.\n Whenever you cast a blue permanent spell, draw a card.		4	3		
Emrakul's Messenger	1U	Creature — Eldrazi Faerie Rogue 	Devoid (This card has no color.)\n Flying\n Whenever you draw your second card each turn, create a 0/1 colorless Eldrazi Spawn creature token with “Sacrifice this token: Add C.”		2	1		
Esior, Wardwing Familiar	1U	Legendary Creature — Bird 	Flying\n Spells your opponents cast that target one or more commanders you control cost 3 more to cast.\n Partner (You can have two commanders if both have partner.)		1	3		
Ghostly Pilferer	1U	Creature — Spirit Rogue 	Whenever this creature becomes untapped, you may pay 2. If you do, draw a card.\n Whenever an opponent casts a spell from anywhere other than their hand, draw a card.\n Discard a card: This creature can’t be blocked this turn.		2	1		
Hullbreaker Horror	5UU	Creature — Kraken Horror 	Flash\n This spell can’t be countered.\n Whenever you cast a spell, choose up to one —\n • Return target spell you don’t control to its owner’s hand.\n • Return target nonland permanent to its owner’s hand.		7	8		
Hydroelectric Specimen	2U	Creature — Weird 	Flash\n When this creature enters, you may change the target of target instant or sorcery spell with a single target to this creature.		1	4		Hydroelectric Laboratory		Land	As this land enters, you may pay 3 life. If you don’t, it enters tapped.\n T: Add U.					
Icebreaker Kraken	10UU	Snow Creature — Kraken 	Affinity for snow lands (This spell costs 1 less to cast for each snow land you control.)\n When this creature enters, artifacts and creatures target opponent controls don’t untap during that player’s next untap step.\n Return three snow lands you control to their owner’s hand: Return this creature to its owner’s hand.		8	8		
Oneirophage	3U	Creature — Squid Illusion 	Flying\n Whenever you draw a card, put a +1/+1 counter on this creature.		1	2		
Behold the Unspeakable	3UU	Enchantment — Saga 	(As this Saga enters and after your draw step, add a lore counter.)\n I — Creatures you don’t control get -2/-0 until your next turn.\n II — If you have one or fewer cards in hand, draw four cards. Otherwise, scry 2, then draw two cards.\n III — Exile this Saga, then return it to the battlefield transformed under your control.	​				Vision of the Unspeakable		Enchantment Creature — Spirit 	Flying, trample\n This creature gets +1/+1 for each card in your hand.		0	0		
Marit Lage's Slumber	1U	Legendary Snow Enchantment	Whenever this enchantment or another snow permanent you control enters, scry 1.\n At the beginning of your upkeep, if you control ten or more snow permanents, sacrifice this enchantment. If you do, create Marit Lage, a legendary 20/20 black Avatar creature token with flying and indestructible.					
Ominous Seas	1U	Enchantment	Whenever you draw a card, put a foreshadow counter on this enchantment.\n Remove eight foreshadow counters from this enchantment: Create an 8/8 blue Kraken creature token.\n Cycling 2 (2, Discard this card: Draw a card.)					
Winter's Rest	1U	Snow Enchantment — Aura 	Enchant creature\n When this Aura enters, tap enchanted creature.\n As long as you control another snow permanent, enchanted creature doesn’t untap during its controller’s untap step.					
Wizard Class	U	Enchantment — Class 	(Gain the next level as a sorcery to add its ability.)\n You have no maximum hand size.\n 2U: Level 2\n When this Class becomes level 2, draw two cards.\n 4U: Level 3\n Whenever you draw a card, put a +1/+1 counter on target creature you control.					
Archmage's Charm	UUU	Instant	Choose one —\n • Counter target spell.\n • Target player draws two cards.\n • Gain control of target nonland permanent with mana value 1 or less.					
Brainstorm	U	Instant	Draw three cards, then put two cards from your hand on top of your library in any order.					
Commit	3U	Instant	Put target spell or nonland permanent into its owner’s library second from the top.					Memory	4UU	Sorcery		Aftermath (Cast this spell only from your graveyard. Then exile it.)\n Each player shuffles their hand and graveyard into their library, then draws seven cards.				
Consider	U		Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)\n Draw a card.					
Counterspell	UU	Instant	Counter target spell.					
Evacuation	3UU	Instant	Return all creatures to their owners’ hands.					
Fact of Fiction	3U	Instant	Reveal the top five cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other into your graveyard.					
Mission Briefing	UU	Instant	Surveil 2, then choose an instant or sorcery card in your graveyard. You may cast it this turn. If that spell would be put into your graveyard, exile it instead. (To surveil 2, look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)					
Mystic Confluence	3UU	Instant	Choose three. You may choose the same mode more than once.\n • Counter target spell unless its controller pays 3.\n • Return target creature to its owner’s hand.\n • Draw a card.					
Negate	1U	Instant	Counter target noncreature spell.					
Rewind	2UU	Instant	Counter target spell. Untap up to four lands.					
Strix Serenade	U	Instant	Counter target artifact, creature, or planeswalker spell. Its controller creates a 2/2 blue Bird creature token with flying.					
Sublime Epiphany	4UU	Instant	Choose one or more —\n • Counter target spell.\n • Counter target activated or triggered ability.\n • Return target nonland permanent to its owner’s hand.\n • Create a token that’s a copy of target creature you control.\n • Target player draws a card.					
Swan Song	U	Instant	Counter target enchantment, instant, or sorcery spell. Its controller creates a 2/2 blue Bird creature token with flying.					
Thought Scour	U	Instant	Target player mills two cards.\n Draw a card.					
Tolarian Winds	1U	Instant	Discard all the cards in your hand, then draw that many cards.					
Wash Away	U	Instant	Cleave 1UU (You may cast this spell for its cleave cost. If you do, remove the words in square brackets.)\n Counter target spell [that wasn’t cast from its owner’s hand].					
Castle Vantress		Land	This land enters tapped unless you control an Island.\n T: Add U.\n 2UU, T: Scry 2.					
Hall of Storm Giants		Land	If you control two or more other lands, this land enters tapped.\n T: Add U.\n 5U: Until end of turn, this land becomes a 7/7 blue Giant creature with ward 3. It’s still a land. (Whenever this permanent becomes the target of a spell or ability an opponent controls, counter it unless that player pays 3.)					
Jace Beleren	1UU	Legendary Planeswalker — Jace 	[+2]: Each player draws a card.\n [-1]: Target player draws a card.\n [-10]: Target player mills twenty cards.				3	
Narset, Parter of Veils	1UU	Legendary Planeswalker — Narset 	Each opponent can’t draw more than one card each turn.\n [-2]: Look at the top four cards of your library. You may reveal a noncreature, nonland card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.				5	
Teferi, Master of Time	2UU	Legendary Planeswalker — Teferi 	You may activate loyalty abilities of Teferi on any player’s turn any time you could cast an instant.\n [+1]: Draw a card, then discard a card.\n [-3]: Target creature you don’t control phases out. (Treat it and anything attached to it as though they don’t exist until its controller’s next turn.)\n [-10]: Take two extra turns after this one.				3	
Deep Analysis	3U	Sorcery	Target player draws two cards.\n Flashback—1U, Pay 3 life. (You may cast this card from your graveyard for its flashback cost. Then exile it.)					
Finale of Revelation	XUU	Sorcery	Draw X cards. If X is 10 or more, instead shuffle your graveyard into your library, draw X cards, untap up to five lands, and you have no maximum hand size for the rest of the game.\n Exile Finale of Revelation.					
Flood of Tears	4UU	Sorcery	Return all nonland permanents to their owners’ hands. If you return four or more nontoken permanents you control this way, you may put a permanent card from your hand onto the battlefield.					
Sea Gate Restoration	4UUU	Sorcery	Draw cards equal to the number of cards in your hand plus one. You have no maximum hand size for the rest of the game.					Sea Gate, Reborn		Land	As this land enters, you may pay 3 life. If you don’t, it enters tapped.\n T: Add U.					
Serum Visions	U	Sorcery	Draw a card. Scry 2.					
